ID;Labels
D2-126;Meta
D2-127;Human
D2-128;OpenAI
D2-129;Human
D2-130;OpenAI
D2-131;OpenAI
D2-132;Human
D2-133;Anthropic
D2-134;Anthropic
D2-135;Anthropic
D2-136;Human
D2-137;OpenAI
D2-138;Human
D2-139;Human
D2-140;Human
D2-141;Human
D2-142;Human
D2-143;Human
D2-144;OpenAI
D2-145;Meta
D2-146;Meta
D2-147;Human
D2-148;OpenAI
D2-149;Anthropic
D2-150;Anthropic
D3-76;Human
D3-77;Human
D3-78;Human
D3-79;Google
D3-80;OpenAI
D3-81;Anthropic
D3-82;OpenAI
D3-83;OpenAI
D3-84;Human
D3-85;Human
D3-86;Human
D3-87;OpenAI
D3-88;OpenAI
D3-89;Human
D3-90;Anthropic
D3-91;Anthropic
D3-92;Anthropic
D3-93;Anthropic
D3-94;Anthropic
D3-95;Anthropic
D3-96;Anthropic
D3-97;Human
D3-98;OpenAI
D3-99;OpenAI
D3-100;Human
D4-1;Human
D4-2;OpenAI
D4-3;OpenAI
D4-4;OpenAI
D4-5;Anthropic
D4-6;Human
D4-7;Anthropic
D4-8;OpenAI
D4-9;Human
D4-10;Anthropic
D4-11;Google
D4-12;OpenAI
D4-13;OpenAI
D4-14;Human
D4-15;Anthropic
D4-16;Human
D4-17;OpenAI
D4-18;Human
D4-19;OpenAI
D4-20;Anthropic
D4-21;OpenAI
D4-22;Anthropic
D4-23;Human
D4-24;Anthropic
D4-25;Human
D4-26;Anthropic
D4-27;Anthropic
D4-28;OpenAI
D4-29;Anthropic
D4-30;OpenAI
D4-31;Google
D4-32;Human
D4-33;OpenAI
D4-34;Human
D4-35;Anthropic
D4-36;Human
D4-37;Anthropic
D4-38;Anthropic
D4-39;OpenAI
D4-40;OpenAI
D4-41;OpenAI
D4-42;OpenAI
D4-43;OpenAI
D4-44;Anthropic
D4-45;Anthropic
D4-46;OpenAI
D4-47;Anthropic
D4-48;OpenAI
D4-49;Anthropic
D4-50;OpenAI
D4-51;OpenAI
D4-52;OpenAI
D4-53;Human
D4-54;Anthropic
D4-55;Anthropic
D4-56;Anthropic
D4-57;Anthropic
D4-58;Anthropic
D4-59;Anthropic
D4-60;Anthropic
D4-61;Human
D4-62;Anthropic
D4-63;Human
D4-64;Human
D4-65;OpenAI
D4-66;OpenAI
D4-67;Anthropic
D4-68;Human
D4-69;OpenAI
D4-70;Anthropic
D4-71;Anthropic
D4-72;OpenAI
D4-73;Anthropic
D4-74;Human
D4-75;OpenAI
D4-76;OpenAI
D4-77;Anthropic
D4-78;Anthropic
D4-79;Anthropic
D4-80;OpenAI
D4-81;OpenAI
D4-82;Anthropic
D4-83;Human
D4-84;Anthropic
D4-85;Anthropic
D4-86;OpenAI
D4-87;OpenAI
D4-88;Anthropic
D4-89;Human
D4-90;Anthropic
D4-91;Anthropic
D4-92;Anthropic
D4-93;Anthropic
D4-94;Anthropic
D4-95;OpenAI
D4-96;Human
D4-97;OpenAI
D4-98;Anthropic
D4-99;Anthropic
D4-100;Anthropic
